연도,예산확정구분,부처명,본예산,데이터기준일
2024,정부안,5·18민주화운동 진상규명조사위원회,6888,2023-08-29
2024,정부안,감사원,146717,2023-08-29
2024,정부안,개인정보보호위원회,64457,2023-08-29
2024,정부안,경찰청,12952891,2023-08-29
2024,정부안,고용노동부,33603938,2023-08-29
2024,정부안,고위공직자범죄수사처,20204,2023-08-29
2024,정부안,공정거래위원회,158479,2023-08-29
2024,정부안,과학기술정보통신부,18348718,2023-08-29
2024,정부안,관세청,657623,2023-08-29
2024,정부안,교육부,95625361,2023-08-29
2024,정부안,국가교육위원회,10279,2023-08-29
2024,정부안,국가보훈부,6394794,2023-08-29
2024,정부안,국가인권위원회,41303,2023-08-29
2024,정부안,국가정보원,894560,2023-08-29
2024,정부안,국무조정실 및 국무총리비서실,658892,2023-08-29
2024,정부안,국민권익위원회,111592,2023-08-29
2024,정부안,국방부,43389967,2023-08-29
2024,정부안,국세청,1971497,2023-08-29
2024,정부안,국토교통부,60647119,2023-08-29
2024,정부안,국회,751653,2023-08-29
2024,정부안,금융위원회,2064160,2023-08-29
2024,정부안,기상청,447397,2023-08-29
2024,정부안,기획재정부,42050396,2023-08-29
2024,정부안,농림축산식품부,18332957,2023-08-29
2024,정부안,농촌진흥청,1085469,2023-08-29
2024,정부안,대법원,2164061,2023-08-29
2024,정부안,대통령경호처,134146,2023-08-29
2024,정부안,대통령비서실 및 국가안보실,103203,2023-08-29
2024,정부안,문화재청,1348908,2023-08-29
2024,정부안,문화체육관광부,6979560,2023-08-29
2024,정부안,민주평화통일자문회의,34826,2023-08-29
2024,정부안,방송통신위원회,43382,2023-08-29
2024,정부안,방위사업청,17788512,2023-08-29
2024,정부안,법무부,4359022,2023-08-29
2024,정부안,법제처,45501,2023-08-29
2024,정부안,병무청,422575,2023-08-29
2024,정부안,보건복지부,122453775,2023-08-29
2024,정부안,산림청,2583039,2023-08-29
2024,정부안,산업통상자원부,11221407,2023-08-29
2024,정부안,새만금개발청,29902,2023-08-29
2024,정부안,소방청,336022,2023-08-29
2024,정부안,식품의약품안전처,711135,2023-08-29
2024,정부안,여성가족부,1677924,2023-08-29
2024,정부안,외교부,4289508,2023-08-29
2024,정부안,원자력안전위원회,136045,2023-08-29
2024,정부안,인사혁신처,26650004,2023-08-29
2024,정부안,재외동포청,105477,2023-08-29
2024,정부안,조달청,241534,2023-08-29
2024,정부안,중소벤처기업부,14513539,2023-08-29
2024,정부안,중앙선거관리위원회,832433,2023-08-29
2024,정부안,진실·화해를위한과거사정리위원회,16749,2023-08-29
2024,정부안,질병관리청,645671,2023-08-29
2024,정부안,통계청,424174,2023-08-29
2024,정부안,통일부,1108708,2023-08-29
2024,정부안,특허청,547311,2023-08-29
2024,정부안,해양경찰청,1892701,2023-08-29
2024,정부안,해양수산부,6623259,2023-08-29
2024,정부안,행정안전부,72094541,2023-08-29
2024,정부안,행정중심복합도시건설청,141982,2023-08-29
2024,정부안,헌법재판소,56742,2023-08-29
2024,정부안,환경부,13656850,2023-08-29
