법령아이디,법령정보일련번호,법령명,법령제정일자,시행일직접추가구분,기관코드,기관명,기관전체명,기관약어,기관영문,기관영문약어,최상위기관코드,상위기관코드,기관간차수,서열순서,등록일자,종료일자,겸직여부,법령주소경로,대분류,중분류,소분류
009177,109454,과학기술기본법,2011-03-28,1,0000001,대통령,대통령,,President,,0000001,0000001,1,1,2011-03-28,9999-12-31,N,https://www.law.go.kr/lsInfoP.do?lsiSeq=111462&lsId=&efYd=20110328&chrClsCd=010202&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR&ancYnChk=#,국가행정조직,대통령,대통령
009177,109454,과학기술기본법,2011-03-28,1,0000002,국무총리,국무총리,,Prime Minister,,0000001,0000001,3,1,2011-03-28,9999-12-31,N,https://www.law.go.kr/lsInfoP.do?lsiSeq=111462&lsId=&efYd=20110328&chrClsCd=010202&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR&ancYnChk=#,국가행정조직,국무총리,국무총리
009177,109454,과학기술기본법,2011-03-28,1,1011000,대통령실,대통령실,,,,0000001,0000001,2,1,2011-03-28,9999-12-31,N,https://www.law.go.kr/lsInfoP.do?lsiSeq=111462&lsId=&efYd=20110328&chrClsCd=010202&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR&ancYnChk=#,국가행정조직,중앙행정기관에 준하는 기관,실
009177,109454,과학기술기본법,2011-03-28,1,1030000,국가정보원,국가정보원,국정원,National Intelligence Service,NIS,0000001,0000001,2,6,2011-03-28,9999-12-31,N,https://www.law.go.kr/lsInfoP.do?lsiSeq=111462&lsId=&efYd=20110328&chrClsCd=010202&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR&ancYnChk=#,국가행정조직,중앙행정기관에 준하는 기관,원
009177,109454,과학기술기본법,2011-03-28,1,1040000,감사원,감사원,,Board of Audit and Inspection,BAI,0000001,0000001,2,5,2011-03-28,9999-12-31,N,https://www.law.go.kr/lsInfoP.do?lsiSeq=111462&lsId=&efYd=20110328&chrClsCd=010202&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR&ancYnChk=#,국가행정조직,중앙행정기관에 준하는 기관,원
009177,109454,과학기술기본법,2011-03-28,1,1051000,기획재정부,기획재정부,기재부,Ministry of Economy and Finance,MOEF,0000001,0000002,4,1,2011-03-28,9999-12-31,N,https://www.law.go.kr/lsInfoP.do?lsiSeq=111462&lsId=&efYd=20110328&chrClsCd=010202&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR&ancYnChk=#,국가행정조직,중앙행정기관,부
009177,109454,과학기술기본법,2011-03-28,1,1084000,국가교육과학기술자문회의,국가교육과학기술자문회의,,,,0000001,1790239,2,8,2011-03-28,9999-12-31,N,https://www.law.go.kr/lsInfoP.do?lsiSeq=111462&lsId=&efYd=20110328&chrClsCd=010202&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR&ancYnChk=#,,,
009177,109454,과학기술기본법,2011-03-28,1,1091000,특임장관,특임장관,,,,0000001,0000002,3,2,2011-03-28,9999-12-31,N,https://www.law.go.kr/lsInfoP.do?lsiSeq=111462&lsId=&efYd=20110328&chrClsCd=010202&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR&ancYnChk=#,,,
009177,109454,과학기술기본법,2011-03-28,1,1101000,국무총리실,국무총리실,,,,0000001,0000002,3,1,2011-03-28,9999-12-31,N,https://www.law.go.kr/lsInfoP.do?lsiSeq=111462&lsId=&efYd=20110328&chrClsCd=010202&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR&ancYnChk=#,국가행정조직,중앙행정기관에 준하는 기관,실
009177,109454,과학기술기본법,2011-03-28,1,1130000,공정거래위원회,공정거래위원회,공정위,Korea Fair Trade Commission,KFTC,,0000002,3,3,2011-03-28,9999-12-31,N,https://www.law.go.kr/lsInfoP.do?lsiSeq=111462&lsId=&efYd=20110328&chrClsCd=010202&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR&ancYnChk=#,국가행정조직,중앙행정기관,위원회
009177,109454,과학기술기본법,2011-03-28,1,1140100,국민권익위원회,국민권익위원회,국민권익위,Anti-corruption & Civil Rights Commission,ACRC,,0000002,3,4,2011-03-28,9999-12-31,N,https://www.law.go.kr/lsInfoP.do?lsiSeq=111462&lsId=&efYd=20110328&chrClsCd=010202&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR&ancYnChk=#,국가행정조직,중앙행정기관,위원회
009177,109454,과학기술기본법,2011-03-28,1,1160100,금융위원회,금융위원회,금융위,Financial Services Commission,FSC,,0000002,3,5,2011-03-28,9999-12-31,N,https://www.law.go.kr/lsInfoP.do?lsiSeq=111462&lsId=&efYd=20110328&chrClsCd=010202&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR&ancYnChk=#,국가행정조직,중앙행정기관,위원회
009177,109454,과학기술기본법,2011-03-28,1,1170000,법제처,법제처,,Ministry of Government Legislation,MOLEG,0000001,0000002,3,1,2011-03-28,9999-12-31,N,https://www.law.go.kr/lsInfoP.do?lsiSeq=111462&lsId=&efYd=20110328&chrClsCd=010202&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR&ancYnChk=#,국가행정조직,중앙행정기관,처
009177,109454,과학기술기본법,2011-03-28,1,1180000,국가보훈처,국가보훈처,보훈처,Ministry of Patriots and Veterans Affairs,MPVA,0000001,0000002,3,2,2011-03-28,9999-12-31,N,https://www.law.go.kr/lsInfoP.do?lsiSeq=111462&lsId=&efYd=20110328&chrClsCd=010202&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR&ancYnChk=#,국가행정조직,중앙행정기관,처
009177,109454,과학기술기본법,2011-03-28,1,1191000,국가과학기술위원회,국가과학기술위원회,,,,0000001,0000001,2,8,2011-03-28,9999-12-31,N,https://www.law.go.kr/lsInfoP.do?lsiSeq=111462&lsId=&efYd=20110328&chrClsCd=010202&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR&ancYnChk=#,국가행정조직,중앙행정기관에 준하는 기관,위원회
009177,109454,과학기술기본법,2011-03-28,1,1210000,국세청,국세청,,National Tax Service,NTS,0000001,1051000,5,2,2011-03-28,9999-12-31,N,https://www.law.go.kr/lsInfoP.do?lsiSeq=111462&lsId=&efYd=20110328&chrClsCd=010202&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR&ancYnChk=#,국가행정조직,중앙행정기관,청
009177,109454,과학기술기본법,2011-03-28,1,1220000,관세청,관세청,,Korea Customs Service,KCS,0000001,1051000,5,3,2011-03-28,9999-12-31,N,https://www.law.go.kr/lsInfoP.do?lsiSeq=111462&lsId=&efYd=20110328&chrClsCd=010202&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR&ancYnChk=#,국가행정조직,중앙행정기관,청
009177,109454,과학기술기본법,2011-03-28,1,1230000,조달청,조달청,,Public Procurement Service,PPS,0000001,1051000,5,4,2011-03-28,9999-12-31,N,https://www.law.go.kr/lsInfoP.do?lsiSeq=111462&lsId=&efYd=20110328&chrClsCd=010202&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR&ancYnChk=#,국가행정조직,중앙행정기관,청
009177,109454,과학기술기본법,2011-03-28,1,1240000,통계청,통계청,,Statistics Korea,KOSTAT,0000001,1051000,5,5,2011-03-28,9999-12-31,N,https://www.law.go.kr/lsInfoP.do?lsiSeq=111462&lsId=&efYd=20110328&chrClsCd=010202&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR&ancYnChk=#,국가행정조직,중앙행정기관,청
009177,109454,과학기술기본법,2011-03-28,1,1250000,통일부,통일부,,Ministry of Unification,MOU,0000001,0000002,4,4,2011-03-28,9999-12-31,N,https://www.law.go.kr/lsInfoP.do?lsiSeq=111462&lsId=&efYd=20110328&chrClsCd=010202&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR&ancYnChk=#,국가행정조직,중앙행정기관,부
009177,109454,과학기술기본법,2011-03-28,1,1260000,외교통상부,외교통상부,,,,0000001,0000002,4,3,2011-03-28,9999-12-31,N,https://www.law.go.kr/lsInfoP.do?lsiSeq=111462&lsId=&efYd=20110328&chrClsCd=010202&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR&ancYnChk=#,국가행정조직,중앙행정기관,부
009177,109454,과학기술기본법,2011-03-28,1,1270000,법무부,법무부,,Ministry of Justice,MOJ,0000001,0000002,4,5,2011-03-28,9999-12-31,N,https://www.law.go.kr/lsInfoP.do?lsiSeq=111462&lsId=&efYd=20110328&chrClsCd=010202&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR&ancYnChk=#,국가행정조직,중앙행정기관,부
009177,109454,과학기술기본법,2011-03-28,1,1280000,검찰청,검찰청,,Supreme Prosecutors' Office,SPO,1270000,1270000,5,6,2011-03-28,9999-12-31,N,https://www.law.go.kr/lsInfoP.do?lsiSeq=111462&lsId=&efYd=20110328&chrClsCd=010202&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR&ancYnChk=#,국가행정조직,중앙행정기관,청
009177,109454,과학기술기본법,2011-03-28,1,1290000,국방부,국방부,,Ministry of National Defense,MND,0000001,0000002,4,6,2011-03-28,9999-12-31,N,https://www.law.go.kr/lsInfoP.do?lsiSeq=111462&lsId=&efYd=20110328&chrClsCd=010202&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR&ancYnChk=#,국가행정조직,중앙행정기관,부
009177,109454,과학기술기본법,2011-03-28,1,1300000,병무청,병무청,,Military Manpower Administration,MMA,0000001,1290000,5,7,2011-03-28,9999-12-31,N,https://www.law.go.kr/lsInfoP.do?lsiSeq=111462&lsId=&efYd=20110328&chrClsCd=010202&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR&ancYnChk=#,국가행정조직,중앙행정기관,청
009177,109454,과학기술기본법,2011-03-28,1,1311000,행정안전부,행정안전부,행안부,Ministry of the Interior and Safety,MOIS,0000001,0000002,4,7,2011-03-28,9999-12-31,N,https://www.law.go.kr/lsInfoP.do?lsiSeq=111462&lsId=&efYd=20110328&chrClsCd=010202&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR&ancYnChk=#,국가행정조직,중앙행정기관,부
009177,109454,과학기술기본법,2011-03-28,1,1320000,경찰청,경찰청,,National Police Agency,NPA,0000001,1311000,5,9,2011-03-28,9999-12-31,N,https://www.law.go.kr/lsInfoP.do?lsiSeq=111462&lsId=&efYd=20110328&chrClsCd=010202&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR&ancYnChk=#,국가행정조직,중앙행정기관,청
009177,109454,과학기술기본법,2011-03-28,1,1341000,교육과학기술부,교육과학기술부,,,,0000001,0000002,4,2,2011-03-28,9999-12-31,N,https://www.law.go.kr/lsInfoP.do?lsiSeq=111462&lsId=&efYd=20110328&chrClsCd=010202&urlMode=lsEfInfoR&viewCls=lsRvsDocInfoR&ancYnChk=#,국가행정조직,중앙행정기관,부
